Name,Height,Weight,Reach,W,L,D,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,edad,ufc_bouts,racha,St_Open Stance,St_Orthodox,St_Sideways,St_Southpaw,St_Switch
Gina Mazany,168.0,125.0,173.0,7.0,5.0,0.0,3.73,50,3.52,50,4.34,52,33,0.2,35.0,8,-2,False,False,False,True,False
Charles Jourdain,175.0,145.0,175.0,13.0,6.0,1.0,5.78,49,4.3,57,0.1,16,48,0.4,28.0,10,1,False,False,False,False,True
Elizabeth Phillips,168.0,135.0,165.0,6.0,5.0,0.0,2.6,33,3.07,58,0.75,25,53,0.2,37.0,4,-1,False,True,False,False,False
Chris Gutierrez,175.0,135.0,170.0,19.0,3.0,2.0,4.75,58,2.76,64,0.38,37,74,0.1,32.0,9,-1,False,True,False,False,False
Chael Sonnen,185.0,205.0,185.0,29.0,14.0,1.0,3.08,43,1.1,62,3.81,59,66,0.4,46.0,14,-1,False,False,False,True,False
Sam Alvey,188.0,185.0,190.0,33.0,17.0,1.0,3.28,44,3.63,52,0.06,14,82,0.1,37.0,23,-8,False,False,False,True,False
Rick Story,175.0,170.0,180.0,19.0,8.0,0.0,3.8,41,2.17,62,2.53,48,63,0.9,39.0,19,-1,False,False,False,True,False
Cody Donovan,190.0,205.0,188.0,8.0,4.0,0.0,5.61,59,5.44,45,1.67,28,0,1.7,42.0,4,-3,False,True,False,False,False
Andrei Semenov,183.0,185.0,183.0,34.0,8.0,2.0,0.78,15,2.44,60,1.74,80,55,0.4,46.0,2,-1,False,True,False,False,False
Gasan Umalatov,180.0,170.0,180.0,17.0,3.0,2.0,2.23,39,4.1,59,0.75,17,90,0.0,41.0,4,-2,False,True,False,False,False
Ricky Glenn,183.0,155.0,178.0,22.0,6.0,2.0,3.99,43,3.92,52,0.56,13,68,0.4,34.0,8,-1,False,False,False,True,False
Marcin Prachnio,190.0,205.0,188.0,15.0,6.0,0.0,5.7,54,3.26,55,0.0,0,62,0.0,35.0,7,1,False,True,False,False,False
Nazim Sadykhov,178.0,155.0,175.0,7.0,1.0,0.0,5.17,52,4.47,56,0.66,100,80,0.0,29.0,1,1,False,False,False,True,False
Renato Sobral,185.0,205.0,190.0,36.0,11.0,0.0,2.23,45,1.53,57,2.48,42,65,2.6,48.0,10,1,False,True,False,False,False
Charlie Ontiveros,188.0,155.0,188.0,11.0,8.0,0.0,1.89,41,5.86,31,0.0,0,30,0.0,32.0,3,-3,False,False,False,False,True
Alan Baudot,190.0,243.0,201.0,8.0,3.0,0.0,5.36,58,4.82,46,0.0,0,62,0.0,35.0,4,-4,False,True,False,False,False
Jessin Ayari,183.0,155.0,185.0,16.0,5.0,0.0,3.53,37,3.59,58,0.0,0,50,0.3,31.0,4,-3,False,True,False,False,False
Mark Hominick,173.0,145.0,173.0,20.0,11.0,0.0,4.08,42,4.18,69,0.25,66,71,0.9,41.0,7,-4,False,True,False,False,False
Richie Hightower,173.0,170.0,173.0,8.0,3.0,0.0,4.62,35,6.92,21,3.46,100,100,0.0,49.0,1,-1,False,True,False,False,False
Shane Roller,178.0,155.0,183.0,11.0,6.0,0.0,2.04,34,2.65,60,2.46,33,42,1.9,44.0,6,-1,False,True,False,False,False
Austin Lingo,178.0,145.0,178.0,9.0,1.0,0.0,4.21,40,4.36,58,0.55,66,78,0.0,29.0,4,-1,False,True,False,False,False
Saparbeg Safarov,185.0,185.0,198.0,9.0,2.0,0.0,4.03,48,2.96,47,2.52,41,33,0.0,37.0,4,-1,False,True,False,False,False
David Zawada,183.0,170.0,190.0,17.0,6.0,0.0,3.84,41,4.54,55,0.97,33,57,1.7,33.0,5,-2,False,True,False,False,False
Dhiego Lima,188.0,170.0,190.0,17.0,8.0,0.0,3.12,39,3.88,58,1.26,34,73,0.6,34.0,11,-2,False,True,False,False,False
Edson Barboza,180.0,145.0,190.0,22.0,11.0,0.0,4.0,44,4.12,58,0.38,44,75,0.1,37.0,28,1,False,True,False,False,False
Walt Harris,196.0,250.0,196.0,13.0,9.0,0.0,3.05,39,3.33,54,0.29,28,70,0.1,40.0,15,-3,False,False,False,True,False
Dwayne Cason,178.0,212.0,178.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,1,False,True,False,False,False
